shape,hand,shape_name,ukeire_tiles,ukeire_type_count,ukeire_count,fixed_ryanmen_count,improve_neighbor_count,max_neighbor_ukeire_count,avg_neighbor_ukeire_count,score,distance_to_final,neighbor_count,neighbors
222248m,222248m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,7,8,5.647059,"(4, 1, 7, 8, 5.64706)",2,17,122224m 122228m 222244m 222245m 222246m 222247m 222249m 222268m 222278m 222288m 222289m 222448m 222458m 222468m 222478m 222488m 222489m
222249m,222249m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,4,8,5.000000,"(4, 1, 4, 8, 5)",2,16,122224m 122229m 222244m 222245m 222246m 222247m 222248m 222279m 222289m 222299m 222449m 222459m 222469m 222479m 222489m 222499m
222257m,222257m33z,メンツ＋ターツ＋不要牌,6m,1,4,0,10,8,6.352941,"(4, 1, 10, 8, 6.35294)",2,17,122225m 122227m 122257m 222235m 222237m 222245m 222247m 222255m 222277m 222278m 222279m 222357m 222457m 222557m 222577m 222578m 222579m
222268m,222268m33z,メンツ＋ターツ＋不要牌,7m,1,4,0,8,8,5.882353,"(4, 1, 8, 8, 5.88235)",2,17,122226m 122228m 122268m 222236m 222238m 222246m 222248m 222256m 222266m 222288m 222289m 222368m 222468m 222568m 222668m 222688m 222689m
222279m,222279m33z,メンツ＋ターツ＋不要牌,8m,1,4,0,7,8,5.647059,"(4, 1, 7, 8, 5.64706)",2,17,122227m 122229m 122279m 222237m 222239m 222247m 222249m 222257m 222267m 222277m 222299m 222379m 222479m 222579m 222679m 222779m 222799m
222289m,222289m33z,メンツ＋ターツ＋不要牌,7m,1,4,0,4,8,5.000000,"(4, 1, 4, 8, 5)",1,16,122228m 122229m 122289m 222238m 222239m 222248m 222249m 222268m 222288m 222299m 222389m 222489m 222589m 222689m 222889m 222899m
222358m,222358m33z,メンツ＋ターツ＋不要牌,4m,1,4,0,10,8,6.000000,"(4, 1, 10, 8, 6)",2,19,122235m 122238m 222235m 222238m 222335m 222338m 222355m 222356m 222357m 222359m 222368m 222378m 222388m 222389m 222558m 222568m 222578m 222588m 222589m
222359m,222359m33z,メンツ＋ターツ＋不要牌,4m,1,4,0,9,8,5.888889,"(4, 1, 9, 8, 5.88889)",2,18,122235m 122239m 222235m 222239m 222335m 222339m 222355m 222356m 222357m 222358m 222379m 222389m 222399m 222559m 222569m 222579m 222589m 222599m
222368m,222368m33z,メンツ＋ターツ＋不要牌,7m,1,4,0,9,8,5.454545,"(4, 1, 9, 8, 5.45455)",1,22,122236m 122238m 122268m 122368m 222236m 222238m 222268m 222336m 222338m 222346m 222348m 222356m 222358m 222366m 222388m 222389m 222468m 222568m 222668m 222688m 222689m 223468m
222379m,222379m33z,メンツ＋ターツ＋不要牌,8m,1,4,0,10,8,5.636364,"(4, 1, 10, 8, 5.63636)",2,22,122237m 122239m 122279m 122379m 222237m 222239m 222279m 222337m 222339m 222347m 222349m 222357m 222359m 222367m 222377m 222399m 222479m 222579m 222679m 222779m 222799m 223479m
222389m,222389m33z,メンツ＋ターツ＋不要牌,7m,1,4,0,6,8,4.909091,"(4, 1, 6, 8, 4.90909)",1,22,122238m 122239m 122289m 122389m 222238m 222239m 222289m 222338m 222339m 222348m 222349m 222358m 222359m 222368m 222388m 222399m 222489m 222589m 222689m 222889m 222899m 223489m
222469m,222469m33z,メンツ＋ターツ＋不要牌,5m,1,4,0,8,8,5.764706,"(4, 1, 8, 8, 5.76471)",1,17,122246m 222246m 222249m 222346m 222349m 222446m 222449m 222466m 222467m 222468m 222479m 222489m 222499m 222669m 222679m 222689m 222699m
