shape,hand,shape_name,ukeire_tiles,ukeire_type_count,ukeire_count,fixed_ryanmen_count,improve_neighbor_count,max_neighbor_ukeire_count,avg_neighbor_ukeire_count,score,distance_to_final,neighbor_count,neighbors
222334m,222334m33z,階段型,1m 2m 3m 4m 5m 3z,6,16,1,0,7,6.000000,"(16, 6, 0, 7, 6)",0,12,222336m 222337m 222338m 222339m 222346m 222347m 222348m 222349m 223346m 223347m 223348m 223349m
233444m,233444m33z,階段型,1m 2m 3m 4m 5m 3z,6,16,1,0,11,6.333333,"(16, 6, 0, 11, 6.33333)",0,12,233446m 233447m 233448m 233449m 234446m 234447m 234448m 234449m 334446m 334447m 334448m 334449m
333445m,333445m33z,階段型,2m 3m 4m 5m 6m 3z,6,16,1,0,11,6.333333,"(16, 6, 0, 11, 6.33333)",0,12,133344m 133345m 133445m 333447m 333448m 333449m 333457m 333458m 333459m 334457m 334458m 334459m
344555m,344555m33z,階段型,2m 3m 4m 5m 6m 3z,6,16,1,0,11,6.333333,"(16, 6, 0, 11, 6.33333)",0,12,134455m 134555m 144555m 344557m 344558m 344559m 345557m 345558m 345559m 445557m 445558m 445559m
444556m,444556m33z,階段型,3m 4m 5m 6m 7m 3z,6,16,1,0,11,6.333333,"(16, 6, 0, 11, 6.33333)",0,12,144455m 144456m 144556m 244455m 244456m 244556m 444558m 444559m 444568m 444569m 445568m 445569m
455666m,455666m33z,階段型,3m 4m 5m 6m 7m 3z,6,16,1,0,11,6.333333,"(16, 6, 0, 11, 6.33333)",0,12,145566m 145666m 155666m 245566m 245666m 255666m 455668m 455669m 456668m 456669m 556668m 556669m
555667m,555667m33z,階段型,4m 5m 6m 7m 8m 3z,6,16,1,0,11,6.333333,"(16, 6, 0, 11, 6.33333)",0,12,155566m 155567m 155667m 255566m 255567m 255667m 355566m 355567m 355667m 555669m 555679m 556679m
566777m,566777m33z,階段型,4m 5m 6m 7m 8m 3z,6,16,1,0,11,6.333333,"(16, 6, 0, 11, 6.33333)",0,12,156677m 156777m 166777m 256677m 256777m 266777m 356677m 356777m 366777m 566779m 567779m 667779m
666778m,666778m33z,階段型,5m 6m 7m 8m 9m 3z,6,16,1,0,11,6.333333,"(16, 6, 0, 11, 6.33333)",0,12,166677m 166678m 166778m 266677m 266678m 266778m 366677m 366678m 366778m 466677m 466678m 466778m
677888m,677888m33z,階段型,5m 6m 7m 8m 9m 3z,6,16,1,0,7,6.000000,"(16, 6, 0, 7, 6)",0,12,167788m 167888m 177888m 267788m 267888m 277888m 367788m 367888m 377888m 467788m 467888m 477888m
223456m,223456m33z,ピアノ＋α型,1m 2m 4m 7m 3z,5,15,1,0,15,7.687500,"(15, 5, 0, 15, 7.6875)",0,16,223345m 223346m 223455m 223458m 223459m 223466m 223468m 224556m 224566m 224568m 224569m 233456m 234556m 234566m 234568m 234569m
233456m,233456m33z,ピアノ＋α型,1m 3m 4m 7m 3z,5,15,1,0,15,9.187500,"(15, 5, 0, 15, 9.1875)",0,16,223345m 223346m 223456m 233455m 233458m 233459m 233466m 233468m 234556m 234566m 234568m 234569m 334556m 334566m 334568m 334569m
234556m,234556m33z,ピアノ＋α型,1m 4m 5m 7m 3z,5,15,1,0,15,9.266667,"(15, 5, 0, 15, 9.26667)",0,15,223455m 223456m 224556m 233455m 233456m 234558m 234559m 234566m 234568m 234569m 245566m 334556m 345566m 345568m 345569m
234566m,234566m33z,ピアノ＋α型,1m 4m 6m 7m 3z,5,15,1,0,15,8.187500,"(15, 5, 0, 15, 8.1875)",0,16,223456m 223466m 224566m 233456m 233466m 234556m 234568m 234569m 234668m 234669m 245566m 245668m 334566m 345566m 345668m 345669m
334567m,334567m33z,ピアノ＋α型,2m 3m 5m 8m 3z,5,15,1,0,15,7.941176,"(15, 5, 0, 15, 7.94118)",0,17,133456m 133457m 133567m 134567m 334456m 334457m 334566m 334569m 334577m 334579m 335667m 335677m 335679m 344567m 345667m 345677m 345679m
344567m,344567m33z,ピアノ＋α型,2m 4m 5m 8m 3z,5,15,1,0,15,9.187500,"(15, 5, 0, 15, 9.1875)",0,16,134456m 134567m 144567m 334456m 334457m 334567m 344566m 344569m 344577m 344579m 345667m 345677m 345679m 445667m 445677m 445679m
345667m,345667m33z,ピアノ＋α型,2m 5m 6m 8m 3z,5,15,1,0,15,9.187500,"(15, 5, 0, 15, 9.1875)",0,16,134566m 134567m 135667m 145667m 334566m 334567m 335667m 344566m 344567m 345669m 345677m 345679m 356677m 445667m 456677m 456679m
345677m,345677m33z,ピアノ＋α型,2m 5m 7m 8m 3z,5,15,1,0,15,7.941176,"(15, 5, 0, 15, 7.94118)",0,17,134567m 134577m 135677m 145677m 334567m 334577m 335677m 344567m 344577m 345667m 345679m 345779m 356677m 356779m 445677m 456677m 456779m
445678m,445678m33z,ピアノ＋α型,3m 4m 6m 9m 3z,5,15,1,0,15,8.187500,"(15, 5, 0, 15, 8.1875)",0,16,144567m 144678m 145678m 244567m 244568m 244678m 245678m 445567m 445568m 445677m 445688m 446778m 446788m 455678m 456778m 456788m
455678m,455678m33z,ピアノ＋α型,3m 5m 6m 9m 3z,5,15,1,0,15,9.266667,"(15, 5, 0, 15, 9.26667)",0,15,145567m 145678m 155678m 245567m 245678m 255678m 445567m 445568m 445678m 455677m 455688m 456778m 456788m 556778m 556788m
456778m,456778m33z,ピアノ＋α型,3m 6m 7m 9m 3z,5,15,1,0,15,9.187500,"(15, 5, 0, 15, 9.1875)",0,16,145677m 145678m 156778m 245677m 245678m 246778m 256778m 445677m 445678m 446778m 455677m 455678m 456788m 467788m 556778m 567788m
456788m,456788m33z,ピアノ＋α型,3m 6m 8m 9m 3z,5,15,1,0,15,7.687500,"(15, 5, 0, 15, 7.6875)",0,16,145678m 145688m 156788m 245678m 245688m 246788m 256788m 445678m 445688m 446788m 455678m 455688m 456778m 467788m 556788m 567788m
233345m,233345m33z,エントツリャンメン,1m 3m 4m 6m 3z,5,14,1,0,12,7.062500,"(14, 5, 0, 12, 7.0625)",0,16,223334m 223335m 223345m 233347m 233348m 233349m 233355m 233357m 233455m 233457m 233458m 233459m 333455m 333457m 333458m 333459m
234445m,234445m33z,エントツリャンメン,1m 3m 4m 6m 3z,5,14,1,0,12,7.062500,"(14, 5, 0, 12, 7.0625)",0,16,223444m 223445m 224445m 234447m 234448m 234449m 234455m 234457m 234458m 234459m 244455m 244457m 344455m 344457m 344458m 344459m
344456m,344456m33z,エントツリャンメン,2m 4m 5m 7m 3z,5,14,1,0,12,7.117647,"(14, 5, 0, 12, 7.11765)",0,17,134445m 134446m 134456m 144456m 334445m 334446m 334456m 344458m 344459m 344466m 344468m 344566m 344568m 344569m 444566m 444568m 444569m
345556m,345556m33z,エントツリャンメン,2m 4m 5m 7m 3z,5,14,1,0,12,7.117647,"(14, 5, 0, 12, 7.11765)",0,17,134555m 134556m 135556m 145556m 334555m 334556m 335556m 345558m 345559m 345566m 345568m 345569m 355566m 355568m 455566m 455568m 455569m
455567m,455567m33z,エントツリャンメン,3m 5m 6m 8m 3z,5,14,1,0,12,7.117647,"(14, 5, 0, 12, 7.11765)",0,17,145556m 145567m 155567m 245556m 245557m 245567m 255567m 445556m 445557m 445567m 455569m 455577m 455579m 455677m 455679m 555677m 555679m
456667m,456667m33z,エントツリャンメン,3m 5m 6m 8m 3z,5,14,1,0,12,7.117647,"(14, 5, 0, 12, 7.11765)",0,17,145666m 145667m 156667m 245666m 245667m 246667m 256667m 445666m 445667m 446667m 456669m 456677m 456679m 466677m 466679m 566677m 566679m
566678m,566678m33z,エントツリャンメン,4m 6m 7m 9m 3z,5,14,1,0,12,7.062500,"(14, 5, 0, 12, 7.0625)",0,16,156667m 156678m 166678m 256667m 256678m 266678m 356667m 356668m 356678m 366678m 556667m 556668m 556678m 566688m 566788m 666788m
567778m,567778m33z,エントツリャンメン,4m 6m 7m 9m 3z,5,14,1,0,12,7.062500,"(14, 5, 0, 12, 7.0625)",0,16,156777m 156778m 167778m 256777m 256778m 267778m 356777m 356778m 357778m 367778m 556777m 556778m 557778m 567788m 577788m 677788m
111223m,111223m33z,階段型,1m 2m 3m 4m 3z,5,12,1,0,7,4.666667,"(12, 5, 0, 7, 4.66667)",0,15,111225m 111226m 111227m 111228m 111229m 111235m 111236m 111237m 111238m 111239m 112235m 112236m 112237m 112238m 112239m
111233m,111233m33z,エントツシャンポン,1m 2m 3m 4m 3z,5,12,1,0,8,5.200000,"(12, 5, 0, 8, 5.2)",0,15,111235m 111236m 111237m 111238m 111239m 111335m 111336m 111337m 111338m 111339m 112335m 112336m 112337m 112338m 112339m
122233m,122233m33z,シャンポンリャンメン,1m 2m 3m 4m 3z,5,12,1,0,8,5.200000,"(12, 5, 0, 8, 5.2)",0,15,122235m 122236m 122237m 122238m 122239m 122335m 122336m 122337m 122338m 122339m 222335m 222336m 222337m 222338m 222339m
122333m,122333m33z,階段型,1m 2m 3m 4m 3z,5,12,1,0,7,4.933333,"(12, 5, 0, 7, 4.93333)",0,15,122335m 122336m 122337m 122338m 122339m 123335m 123336m 123337m 123338m 123339m 223335m 223336m 223337m 223338m 223339m
222344m,222344m33z,エントツシャンポン,2m 3m 4m 5m 3z,5,12,1,0,10,5.666667,"(12, 5, 0, 10, 5.66667)",0,15,122234m 122244m 122344m 222346m 222347m 222348m 222349m 222446m 222447m 222448m 222449m 223446m 223447m 223448m 223449m
223334m,223334m33z,シャンポンリャンメン,1m 2m 3m 4m 3z,5,12,1,1,14,5.933333,"(12, 5, 1, 14, 5.93333)",1,15,223335m 223336m 223337m 223338m 223339m 223345m 223346m 223347m 223348m 223349m 233345m 233346m 233347m 233348m 233349m
223444m,223444m33z,エントツシャンポン,1m 2m 3m 4m 3z,5,12,1,1,14,6.200000,"(12, 5, 1, 14, 6.2)",1,15,223445m 223446m 223447m 223448m 223449m 224445m 224446m 224447m 224448m 224449m 234445m 234446m 234447m 234448m 234449m
233344m,233344m33z,シャンポンリャンメン,2m 3m 4m 5m 3z,5,12,1,0,11,5.933333,"(12, 5, 0, 11, 5.93333)",0,15,123334m 123344m 133344m 233346m 233347m 233348m 233349m 233446m 233447m 233448m 233449m 333446m 333447m 333448m 333449m
333455m,333455m33z,エントツシャンポン,3m 4m 5m 6m 3z,5,12,1,1,14,6.733333,"(12, 5, 1, 14, 6.73333)",1,15,133345m 133355m 133455m 233345m 233355m 233455m 333457m 333458m 333459m 333557m 333558m 333559m 334557m 334558m 334559m
334445m,334445m33z,シャンポンリャンメン,2m 3m 4m 5m 3z,5,12,1,1,14,6.466667,"(12, 5, 1, 14, 6.46667)",1,15,133444m 133445m 134445m 334446m 334447m 334448m 334449m 334456m 334457m 334458m 334459m 344456m 344457m 344458m 344459m
334555m,334555m33z,エントツシャンポン,2m 3m 4m 5m 3z,5,12,1,1,14,6.733333,"(12, 5, 1, 14, 6.73333)",1,15,133455m 133555m 134555m 334556m 334557m 334558m 334559m 335556m 335557m 335558m 335559m 345556m 345557m 345558m 345559m
344455m,344455m33z,シャンポンリャンメン,3m 4m 5m 6m 3z,5,12,1,1,14,6.466667,"(12, 5, 1, 14, 6.46667)",1,15,134445m 134455m 144455m 234445m 234455m 244455m 344457m 344458m 344459m 344557m 344558m 344559m 444557m 444558m 444559m
444566m,444566m33z,エントツシャンポン,4m 5m 6m 7m 3z,5,12,1,1,14,6.733333,"(12, 5, 1, 14, 6.73333)",1,15,144456m 144466m 144566m 244456m 244466m 244566m 344456m 344466m 344566m 444568m 444569m 444668m 444669m 445668m 445669m
445556m,445556m33z,シャンポンリャンメン,3m 4m 5m 6m 3z,5,12,1,1,14,6.466667,"(12, 5, 1, 14, 6.46667)",1,15,144555m 144556m 145556m 244555m 244556m 245556m 445557m 445558m 445559m 445567m 445568m 445569m 455567m 455568m 455569m
445666m,445666m33z,エントツシャンポン,3m 4m 5m 6m 3z,5,12,1,1,14,6.733333,"(12, 5, 1, 14, 6.73333)",1,15,144566m 144666m 145666m 244566m 244666m 245666m 445667m 445668m 445669m 446667m 446668m 446669m 456667m 456668m 456669m
455566m,455566m33z,シャンポンリャンメン,4m 5m 6m 7m 3z,5,12,1,1,14,6.466667,"(12, 5, 1, 14, 6.46667)",1,15,145556m 145566m 155566m 245556m 245566m 255566m 345556m 345566m 355566m 455568m 455569m 455668m 455669m 555668m 555669m
555677m,555677m33z,エントツシャンポン,5m 6m 7m 8m 3z,5,12,1,1,14,6.733333,"(12, 5, 1, 14, 6.73333)",1,15,155567m 155577m 155677m 255567m 255577m 255677m 355567m 355577m 355677m 455567m 455577m 455677m 555679m 555779m 556779m
556667m,556667m33z,シャンポンリャンメン,4m 5m 6m 7m 3z,5,12,1,1,14,6.466667,"(12, 5, 1, 14, 6.46667)",1,15,155666m 155667m 156667m 255666m 255667m 256667m 355666m 355667m 356667m 556668m 556669m 556678m 556679m 566678m 566679m
556777m,556777m33z,エントツシャンポン,4m 5m 6m 7m 3z,5,12,1,1,14,6.733333,"(12, 5, 1, 14, 6.73333)",1,15,155677m 155777m 156777m 255677m 255777m 256777m 355677m 355777m 356777m 556778m 556779m 557778m 557779m 567778m 567779m
566677m,566677m33z,シャンポンリャンメン,5m 6m 7m 8m 3z,5,12,1,1,14,6.466667,"(12, 5, 1, 14, 6.46667)",1,15,156667m 156677m 166677m 256667m 256677m 266677m 356667m 356677m 366677m 456667m 456677m 466677m 566679m 566779m 666779m
666788m,666788m33z,エントツシャンポン,6m 7m 8m 9m 3z,5,12,1,1,14,6.200000,"(12, 5, 1, 14, 6.2)",1,15,166678m 166688m 166788m 266678m 266688m 266788m 366678m 366688m 366788m 466678m 466688m 466788m 566678m 566688m 566788m
667778m,667778m33z,シャンポンリャンメン,5m 6m 7m 8m 3z,5,12,1,0,11,5.933333,"(12, 5, 0, 11, 5.93333)",0,15,166777m 166778m 167778m 266777m 266778m 267778m 366777m 366778m 367778m 466777m 466778m 467778m 667779m 667789m 677789m
667888m,667888m33z,エントツシャンポン,5m 6m 7m 8m 3z,5,12,1,0,10,5.666667,"(12, 5, 0, 10, 5.66667)",0,15,166788m 166888m 167888m 266788m 266888m 267888m 366788m 366888m 367888m 466788m 466888m 467888m 667889m 668889m 678889m
677788m,677788m33z,シャンポンリャンメン,6m 7m 8m 9m 3z,5,12,1,1,14,5.933333,"(12, 5, 1, 14, 5.93333)",1,15,167778m 167788m 177788m 267778m 267788m 277788m 367778m 367788m 377788m 467778m 467788m 477788m 567778m 567788m 577788m
777889m,777889m33z,階段型,6m 7m 8m 9m 3z,5,12,1,0,7,4.933333,"(12, 5, 0, 7, 4.93333)",0,15,177788m 177789m 177889m 277788m 277789m 277889m 377788m 377789m 377889m 477788m 477789m 477889m 577788m 577789m 577889m
778889m,778889m33z,シャンポンリャンメン,6m 7m 8m 9m 3z,5,12,1,0,8,5.200000,"(12, 5, 0, 8, 5.2)",0,15,177888m 177889m 178889m 277888m 277889m 278889m 377888m 377889m 378889m 477888m 477889m 478889m 577888m 577889m 578889m
778999m,778999m33z,エントツシャンポン,6m 7m 8m 9m 3z,5,12,1,0,8,5.200000,"(12, 5, 0, 8, 5.2)",0,15,177899m 177999m 178999m 277899m 277999m 278999m 377899m 377999m 378999m 477899m 477999m 478999m 577899m 577999m 578999m
788999m,788999m33z,階段型,6m 7m 8m 9m 3z,5,12,1,0,7,4.666667,"(12, 5, 0, 7, 4.66667)",0,15,178899m 178999m 188999m 278899m 278999m 288999m 378899m 378999m 388999m 478899m 478999m 488999m 578899m 578999m 588999m
111334m,111334m33z,メンツ＋リャンメントイツ,2m 3m 5m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,111133m 111134m 111336m 111337m 111338m 111339m 111344m 111346m 111347m 111348m 111349m
111344m,111344m33z,メンツ＋リャンメントイツ,2m 4m 5m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,111134m 111144m 111334m 111346m 111347m 111348m 111349m 111446m 111447m 111448m 111449m
111445m,111445m33z,メンツ＋リャンメントイツ,3m 4m 6m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,111144m 111145m 111244m 111245m 111447m 111448m 111449m 111455m 111457m 111458m 111459m
111455m,111455m33z,メンツ＋リャンメントイツ,3m 5m 6m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,111145m 111155m 111245m 111255m 111445m 111457m 111458m 111459m 111557m 111558m 111559m
111556m,111556m33z,メンツ＋リャンメントイツ,4m 5m 7m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,111155m 111156m 111255m 111256m 111355m 111356m 111558m 111559m 111566m 111568m 111569m
111566m,111566m33z,メンツ＋リャンメントイツ,4m 6m 7m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,111156m 111166m 111256m 111266m 111356m 111366m 111556m 111568m 111569m 111668m 111669m
111667m,111667m33z,メンツ＋リャンメントイツ,5m 6m 8m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,111166m 111167m 111266m 111267m 111366m 111367m 111466m 111467m 111669m 111677m 111679m
111677m,111677m33z,メンツ＋リャンメントイツ,5m 7m 8m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,111167m 111177m 111267m 111277m 111367m 111377m 111467m 111477m 111667m 111679m 111779m
111778m,111778m33z,メンツ＋リャンメントイツ,6m 7m 9m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,111177m 111178m 111277m 111278m 111377m 111378m 111477m 111478m 111577m 111578m 111788m
111788m,111788m33z,メンツ＋リャンメントイツ,6m 8m 9m 3z,4,12,1,0,12,6.545455,"(12, 4, 0, 12, 6.54545)",0,11,111178m 111188m 111278m 111288m 111378m 111388m 111478m 111488m 111578m 111588m 111778m
123556m,123556m33z,メンツ＋リャンメントイツ,4m 5m 7m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,112355m 112356m 122355m 122356m 123355m 123356m 123558m 123559m 123566m 123568m 123569m
123566m,123566m33z,メンツ＋リャンメントイツ,4m 6m 7m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,112356m 112366m 122356m 122366m 123356m 123366m 123556m 123568m 123569m 123668m 123669m
123667m,123667m33z,メンツ＋リャンメントイツ,5m 6m 8m 3z,4,12,1,0,12,7.333333,"(12, 4, 0, 12, 7.33333)",0,12,112366m 112367m 122366m 122367m 123366m 123367m 123466m 123467m 123669m 123677m 123679m 234667m
123677m,123677m33z,メンツ＋リャンメントイツ,5m 7m 8m 3z,4,12,1,0,12,7.333333,"(12, 4, 0, 12, 7.33333)",0,12,112367m 112377m 122367m 122377m 123367m 123377m 123467m 123477m 123667m 123679m 123779m 234677m
123778m,123778m33z,メンツ＋リャンメントイツ,6m 7m 9m 3z,4,12,1,0,12,7.333333,"(12, 4, 0, 12, 7.33333)",0,12,112377m 112378m 122377m 122378m 123377m 123378m 123477m 123478m 123577m 123578m 123788m 234778m
123788m,123788m33z,メンツ＋リャンメントイツ,6m 8m 9m 3z,4,12,1,0,12,7.000000,"(12, 4, 0, 12, 7)",0,12,112378m 112388m 122378m 122388m 123378m 123388m 123478m 123488m 123578m 123588m 123778m 234788m
222233m,222233m33z,メンツ＋リャンメントイツ,1m 3m 4m 3z,4,12,1,0,8,6.400000,"(12, 4, 0, 8, 6.4)",0,10,222235m 222236m 222237m 222238m 222239m 222335m 222336m 222337m 222338m 222339m
222445m,222445m33z,メンツ＋リャンメントイツ,3m 4m 6m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,122244m 122245m 222244m 222245m 222447m 222448m 222449m 222455m 222457m 222458m 222459m
222455m,222455m33z,メンツ＋リャンメントイツ,3m 5m 6m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,122245m 122255m 222245m 222255m 222445m 222457m 222458m 222459m 222557m 222558m 222559m
222556m,222556m33z,メンツ＋リャンメントイツ,4m 5m 7m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,122255m 122256m 222255m 222256m 222355m 222356m 222558m 222559m 222566m 222568m 222569m
222566m,222566m33z,メンツ＋リャンメントイツ,4m 6m 7m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,122256m 122266m 222256m 222266m 222356m 222366m 222556m 222568m 222569m 222668m 222669m
222667m,222667m33z,メンツ＋リャンメントイツ,5m 6m 8m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,122266m 122267m 222266m 222267m 222366m 222367m 222466m 222467m 222669m 222677m 222679m
222677m,222677m33z,メンツ＋リャンメントイツ,5m 7m 8m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,122267m 122277m 222267m 222277m 222367m 222377m 222467m 222477m 222667m 222679m 222779m
222778m,222778m33z,メンツ＋リャンメントイツ,6m 7m 9m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,122277m 122278m 222277m 222278m 222377m 222378m 222477m 222478m 222577m 222578m 222788m
222788m,222788m33z,メンツ＋リャンメントイツ,6m 8m 9m 3z,4,12,1,0,12,6.545455,"(12, 4, 0, 12, 6.54545)",0,11,122278m 122288m 222278m 222288m 222378m 222388m 222478m 222488m 222578m 222588m 222778m
223333m,223333m33z,メンツ＋リャンメントイツ,1m 2m 4m 3z,4,12,1,0,8,6.000000,"(12, 4, 0, 8, 6)",0,10,223335m 223336m 223337m 223338m 223339m 233335m 233336m 233337m 233338m 233339m
223555m,223555m33z,メンツ＋リャンメントイツ,1m 2m 4m 3z,4,12,1,0,12,6.545455,"(12, 4, 0, 12, 6.54545)",0,11,225555m 225556m 225557m 225558m 225559m 233555m 235555m 235556m 235557m 235558m 235559m
223567m,223567m33z,メンツ＋リャンメントイツ,1m 2m 4m 3z,4,12,1,0,12,7.000000,"(12, 4, 0, 12, 7)",0,12,223678m 225567m 225667m 225677m 225678m 225679m 233567m 235567m 235667m 235677m 235678m 235679m
223666m,223666m33z,メンツ＋リャンメントイツ,1m 2m 4m 3z,4,12,1,0,12,6.545455,"(12, 4, 0, 12, 6.54545)",0,11,225666m 226666m 226667m 226668m 226669m 233666m 235666m 236666m 236667m 236668m 236669m
223678m,223678m33z,メンツ＋リャンメントイツ,1m 2m 4m 3z,4,12,1,0,12,7.384615,"(12, 4, 0, 12, 7.38462)",0,13,223567m 223789m 225678m 226678m 226778m 226788m 226789m 233678m 235678m 236678m 236778m 236788m 236789m
223777m,223777m33z,メンツ＋リャンメントイツ,1m 2m 4m 3z,4,12,1,0,12,6.545455,"(12, 4, 0, 12, 6.54545)",0,11,225777m 226777m 227777m 227778m 227779m 233777m 235777m 236777m 237777m 237778m 237779m
223789m,223789m33z,メンツ＋リャンメントイツ,1m 2m 4m 3z,4,12,1,0,12,7.000000,"(12, 4, 0, 12, 7)",0,12,223678m 225789m 226789m 227789m 227889m 227899m 233789m 235789m 236789m 237789m 237889m 237899m
223888m,223888m33z,メンツ＋リャンメントイツ,1m 2m 4m 3z,4,12,1,0,12,6.545455,"(12, 4, 0, 12, 6.54545)",0,11,225888m 226888m 227888m 228888m 228889m 233888m 235888m 236888m 237888m 238888m 238889m
223999m,223999m33z,メンツ＋リャンメントイツ,1m 2m 4m 3z,4,12,1,0,12,6.545455,"(12, 4, 0, 12, 6.54545)",0,11,225999m 226999m 227999m 228999m 229999m 233999m 235999m 236999m 237999m 238999m 239999m
233555m,233555m33z,メンツ＋リャンメントイツ,1m 3m 4m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,223555m 235555m 235556m 235557m 235558m 235559m 335555m 335556m 335557m 335558m 335559m
233567m,233567m33z,メンツ＋リャンメントイツ,1m 3m 4m 3z,4,12,1,0,12,7.666667,"(12, 4, 0, 12, 7.66667)",0,12,223567m 233678m 235567m 235667m 235677m 235678m 235679m 335567m 335667m 335677m 335678m 335679m
233666m,233666m33z,メンツ＋リャンメントイツ,1m 3m 4m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,223666m 235666m 236666m 236667m 236668m 236669m 335666m 336666m 336667m 336668m 336669m
233678m,233678m33z,メンツ＋リャンメントイツ,1m 3m 4m 3z,4,12,1,0,12,7.692308,"(12, 4, 0, 12, 7.69231)",0,13,223678m 233567m 233789m 235678m 236678m 236778m 236788m 236789m 335678m 336678m 336778m 336788m 336789m
233777m,233777m33z,メンツ＋リャンメントイツ,1m 3m 4m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,223777m 235777m 236777m 237777m 237778m 237779m 335777m 336777m 337777m 337778m 337779m
233789m,233789m33z,メンツ＋リャンメントイツ,1m 3m 4m 3z,4,12,1,0,12,7.333333,"(12, 4, 0, 12, 7.33333)",0,12,223789m 233678m 235789m 236789m 237789m 237889m 237899m 335789m 336789m 337789m 337889m 337899m
233888m,233888m33z,メンツ＋リャンメントイツ,1m 3m 4m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,223888m 235888m 236888m 237888m 238888m 238889m 335888m 336888m 337888m 338888m 338889m
233999m,233999m33z,メンツ＋リャンメントイツ,1m 3m 4m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,223999m 235999m 236999m 237999m 238999m 239999m 335999m 336999m 337999m 338999m 339999m
234667m,234667m33z,メンツ＋リャンメントイツ,5m 6m 8m 3z,4,12,1,0,12,7.666667,"(12, 4, 0, 12, 7.66667)",0,12,123466m 123467m 123667m 223466m 223467m 233466m 233467m 234466m 234467m 234669m 234677m 234679m
234677m,234677m33z,メンツ＋リャンメントイツ,5m 7m 8m 3z,4,12,1,0,12,7.333333,"(12, 4, 0, 12, 7.33333)",0,12,123467m 123477m 123677m 223467m 223477m 233467m 233477m 234467m 234477m 234667m 234679m 234779m
234778m,234778m33z,メンツ＋リャンメントイツ,6m 7m 9m 3z,4,12,1,0,12,7.692308,"(12, 4, 0, 12, 7.69231)",0,13,123477m 123478m 123778m 223477m 223478m 233477m 233478m 234477m 234478m 234577m 234578m 234788m 345778m
234788m,234788m33z,メンツ＋リャンメントイツ,6m 8m 9m 3z,4,12,1,0,12,7.384615,"(12, 4, 0, 12, 7.38462)",0,13,123478m 123488m 123788m 223478m 223488m 233478m 233488m 234478m 234488m 234578m 234588m 234778m 345788m
333344m,333344m33z,メンツ＋リャンメントイツ,2m 4m 5m 3z,4,12,1,0,8,6.400000,"(12, 4, 0, 8, 6.4)",0,10,133334m 133344m 333346m 333347m 333348m 333349m 333446m 333447m 333448m 333449m
333556m,333556m33z,メンツ＋リャンメントイツ,4m 5m 7m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,133355m 133356m 233355m 233356m 333355m 333356m 333558m 333559m 333566m 333568m 333569m
333566m,333566m33z,メンツ＋リャンメントイツ,4m 6m 7m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,133356m 133366m 233356m 233366m 333356m 333366m 333556m 333568m 333569m 333668m 333669m
333667m,333667m33z,メンツ＋リャンメントイツ,5m 6m 8m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,133366m 133367m 233366m 233367m 333366m 333367m 333466m 333467m 333669m 333677m 333679m
333677m,333677m33z,メンツ＋リャンメントイツ,5m 7m 8m 3z,4,12,1,0,12,6.909091,"(12, 4, 0, 12, 6.90909)",0,11,133367m 133377m 233367m 233377m 333367m 333377m 333467m 333477m 333667m 333679m 333779m
