from,to,change,from_score,to_score,from_ukeire_count,to_ukeire_count,from_fixed_ryanmen_count,to_fixed_ryanmen_count
467899m,677899m,ツモ7m / 打4m,"(8, 3, 1, 11, 6)","(11, 4, 0, 11, 5.82353)",8,11,0,1
467999m,667999m,ツモ6m / 打4m,"(8, 2, 2, 12, 7.05882)","(12, 4, 0, 12, 6.90909)",8,12,1,1
467999m,677999m,ツモ7m / 打4m,"(8, 2, 2, 12, 7.05882)","(12, 4, 0, 12, 6.90909)",8,12,1,1
468888m,346888m,ツモ3m / 打8m,"(8, 2, 0, 8, 5.6)","(8, 2, 2, 12, 7)",8,8,0,1
468889m,246888m,ツモ2m / 打9m,"(4, 1, 9, 10, 5.94444)","(8, 2, 0, 8, 5.44444)",4,8,0,0
468889m,346888m,ツモ3m / 打9m,"(4, 1, 9, 10, 5.94444)","(8, 2, 2, 12, 7)",4,8,0,1
468889m,446888m,ツモ4m / 打9m,"(4, 1, 9, 10, 5.94444)","(8, 3, 1, 12, 6.21429)",4,8,0,0
468889m,466888m,ツモ6m / 打9m,"(4, 1, 9, 10, 5.94444)","(8, 3, 1, 12, 6.42857)",4,8,0,0
468889m,468888m,ツモ8m / 打9m,"(4, 1, 9, 10, 5.94444)","(8, 2, 0, 8, 5.6)",4,8,0,0
468889m,678889m,ツモ7m / 打4m,"(4, 1, 9, 10, 5.94444)","(10, 4, 1, 12, 5.36842)",4,10,0,1
468999m,346999m,ツモ3m / 打8m,"(8, 2, 0, 8, 5.64706)","(8, 2, 2, 12, 7.05882)",8,8,0,1
469999m,246999m,ツモ2m / 打9m,"(4, 1, 8, 8, 6.13333)","(8, 2, 0, 8, 5.64706)",4,8,0,0
469999m,346999m,ツモ3m / 打9m,"(4, 1, 8, 8, 6.13333)","(8, 2, 2, 12, 7.05882)",4,8,0,1
469999m,446999m,ツモ4m / 打9m,"(4, 1, 8, 8, 6.13333)","(8, 3, 1, 12, 6.46154)",4,8,0,0
469999m,466999m,ツモ6m / 打9m,"(4, 1, 8, 8, 6.13333)","(8, 3, 1, 12, 6.46154)",4,8,0,0
469999m,467999m,ツモ7m / 打9m,"(4, 1, 8, 8, 6.13333)","(8, 2, 2, 12, 7.05882)",4,8,0,1
469999m,468999m,ツモ8m / 打9m,"(4, 1, 8, 8, 6.13333)","(8, 2, 0, 8, 5.64706)",4,8,0,0
477778m,777788m,ツモ8m / 打4m,"(8, 2, 1, 12, 6.85714)","(12, 4, 0, 8, 6)",8,12,1,1
477779m,347777m,ツモ3m / 打9m,"(4, 1, 8, 8, 5.88235)","(8, 2, 2, 12, 7.2)",4,8,0,1
477779m,457777m,ツモ5m / 打9m,"(4, 1, 8, 8, 5.88235)","(8, 2, 2, 12, 7.2)",4,8,0,1
477779m,467777m,ツモ6m / 打9m,"(4, 1, 8, 8, 5.88235)","(8, 2, 1, 12, 6.93333)",4,8,0,1
477779m,777799m,ツモ9m / 打4m,"(4, 1, 8, 8, 5.88235)","(8, 3, 0, 8, 4.66667)",4,8,0,0
477788m,347778m,ツモ3m / 打8m,"(4, 2, 9, 12, 6.75)","(8, 2, 2, 12, 6.52632)",4,8,0,1
477788m,457778m,ツモ5m / 打8m,"(4, 2, 9, 12, 6.75)","(8, 2, 2, 12, 6.875)",4,8,0,1
477788m,677788m,ツモ6m / 打4m,"(4, 2, 9, 12, 6.75)","(12, 5, 1, 14, 5.93333)",4,12,0,1
477788m,777788m,ツモ7m / 打4m,"(4, 2, 9, 12, 6.75)","(12, 4, 0, 8, 6)",4,12,0,1
477788m,777889m,ツモ9m / 打4m,"(4, 2, 9, 12, 6.75)","(12, 5, 0, 7, 4.93333)",4,12,0,1
477789m,247789m,ツモ2m / 打7m,"(3, 2, 22, 12, 5.92308)","(4, 1, 9, 8, 5.21739)",3,4,0,0
477789m,347789m,ツモ3m / 打7m,"(3, 2, 22, 12, 5.92308)","(8, 2, 2, 12, 6.6)",3,8,0,1
477789m,447778m,ツモ4m / 打9m,"(3, 2, 22, 12, 5.92308)","(4, 2, 8, 12, 6.375)",3,4,0,0
477789m,457778m,ツモ5m / 打9m,"(3, 2, 22, 12, 5.92308)","(8, 2, 2, 12, 6.875)",3,8,0,1
477789m,677789m,ツモ6m / 打4m,"(3, 2, 22, 12, 5.92308)","(10, 4, 3, 12, 5.78947)",3,10,0,1
477789m,777889m,ツモ8m / 打4m,"(3, 2, 22, 12, 5.92308)","(12, 5, 0, 7, 4.93333)",3,12,0,1
477789m,777899m,ツモ9m / 打4m,"(3, 2, 22, 12, 5.92308)","(8, 4, 2, 11, 4.61111)",3,8,0,0
477799m,347779m,ツモ3m / 打9m,"(4, 2, 4, 8, 4.93333)","(8, 2, 2, 12, 6)",4,8,0,1
477799m,457779m,ツモ5m / 打9m,"(4, 2, 4, 8, 4.93333)","(8, 2, 2, 12, 6.625)",4,8,0,1
477799m,777799m,ツモ7m / 打4m,"(4, 2, 4, 8, 4.93333)","(8, 3, 0, 8, 4.66667)",4,8,0,0
477799m,777899m,ツモ8m / 打4m,"(4, 2, 4, 8, 4.93333)","(8, 4, 2, 11, 4.61111)",4,8,0,0
477888m,347888m,ツモ3m / 打7m,"(4, 2, 10, 16, 7.25)","(8, 2, 2, 12, 6.73684)",4,8,0,1
477888m,457888m,ツモ5m / 打7m,"(4, 2, 10, 16, 7.25)","(8, 2, 2, 12, 7)",4,8,0,1
477888m,677888m,ツモ6m / 打4m,"(4, 2, 10, 16, 7.25)","(16, 6, 0, 7, 6)",4,16,0,1
477888m,778888m,ツモ8m / 打4m,"(4, 2, 10, 16, 7.25)","(12, 4, 0, 8, 6.4)",4,12,0,1
477888m,778889m,ツモ9m / 打4m,"(4, 2, 10, 16, 7.25)","(12, 5, 0, 8, 5.2)",4,12,0,1
477889m,347789m,ツモ3m / 打8m,"(7, 2, 6, 12, 6.33333)","(8, 2, 2, 12, 6.6)",7,8,1,1
477889m,457789m,ツモ5m / 打8m,"(7, 2, 6, 12, 6.33333)","(8, 2, 2, 12, 6.84211)",7,8,1,1
477889m,777889m,ツモ7m / 打4m,"(7, 2, 6, 12, 6.33333)","(12, 5, 0, 7, 4.93333)",7,12,1,1
477889m,778889m,ツモ8m / 打4m,"(7, 2, 6, 12, 6.33333)","(12, 5, 0, 8, 5.2)",7,12,1,1
477899m,247789m,ツモ2m / 打9m,"(3, 1, 17, 12, 6.09524)","(4, 1, 9, 8, 5.21739)",3,4,0,0
477899m,347789m,ツモ3m / 打9m,"(3, 1, 17, 12, 6.09524)","(8, 2, 2, 12, 6.6)",3,8,0,1
477899m,447899m,ツモ4m / 打7m,"(3, 1, 17, 12, 6.09524)","(4, 2, 8, 12, 6.3125)",3,4,0,0
477899m,457789m,ツモ5m / 打9m,"(3, 1, 17, 12, 6.09524)","(8, 2, 2, 12, 6.84211)",3,8,0,1
477899m,677899m,ツモ6m / 打4m,"(3, 1, 17, 12, 6.09524)","(11, 4, 0, 11, 5.82353)",3,11,0,1
477899m,777899m,ツモ7m / 打4m,"(3, 1, 17, 12, 6.09524)","(8, 4, 2, 11, 4.61111)",3,8,0,0
477899m,778999m,ツモ9m / 打4m,"(3, 1, 17, 12, 6.09524)","(12, 5, 0, 8, 5.2)",3,12,0,1
477999m,347999m,ツモ3m / 打7m,"(4, 2, 8, 12, 6.53333)","(8, 2, 2, 12, 6.77778)",4,8,0,1
477999m,457999m,ツモ5m / 打7m,"(4, 2, 8, 12, 6.53333)","(8, 2, 2, 12, 7)",4,8,0,1
477999m,677999m,ツモ6m / 打4m,"(4, 2, 8, 12, 6.53333)","(12, 4, 0, 12, 6.90909)",4,12,0,1
477999m,778999m,ツモ8m / 打4m,"(4, 2, 8, 12, 6.53333)","(12, 5, 0, 8, 5.2)",4,12,0,1
477999m,779999m,ツモ9m / 打4m,"(4, 2, 8, 12, 6.53333)","(8, 3, 1, 12, 5.66667)",4,8,0,0
478888m,778888m,ツモ7m / 打4m,"(8, 2, 1, 12, 6.85714)","(12, 4, 0, 8, 6.4)",8,12,1,1
478889m,247888m,ツモ2m / 打9m,"(3, 2, 22, 12, 5.92308)","(4, 1, 9, 8, 5.45455)",3,4,0,0
478889m,347888m,ツモ3m / 打9m,"(3, 2, 22, 12, 5.92308)","(8, 2, 2, 12, 6.73684)",3,8,0,1
478889m,447888m,ツモ4m / 打9m,"(3, 2, 22, 12, 5.92308)","(4, 2, 8, 12, 6.375)",3,4,0,0
478889m,457888m,ツモ5m / 打9m,"(3, 2, 22, 12, 5.92308)","(8, 2, 2, 12, 7)",3,8,0,1
478889m,678889m,ツモ6m / 打4m,"(3, 2, 22, 12, 5.92308)","(10, 4, 1, 12, 5.36842)",3,10,0,1
478889m,778889m,ツモ7m / 打4m,"(3, 2, 22, 12, 5.92308)","(12, 5, 0, 8, 5.2)",3,12,0,1
478889m,788899m,ツモ9m / 打4m,"(3, 2, 22, 12, 5.92308)","(8, 4, 1, 10, 4.16667)",3,8,0,0
478899m,247899m,ツモ2m / 打8m,"(3, 1, 16, 12, 5.71429)","(4, 1, 8, 8, 5.2381)",3,4,0,0
478899m,347899m,ツモ3m / 打8m,"(3, 1, 16, 12, 5.71429)","(8, 2, 2, 12, 6.42105)",3,8,0,1
478899m,447899m,ツモ4m / 打8m,"(3, 1, 16, 12, 5.71429)","(4, 2, 8, 12, 6.3125)",3,4,0,0
